Seção,Capítulo,Título do capítulo,Autores do capítulo (nomes completos),Autores na forma Vancouver,Página inicial,Página final,Referência Vancouver
2,12,Anamnese e Exame Físico da Coluna Vertebral,Helton Luiz Aparecido Defino; Matheus Pippa Defino; Rian Souza Vieira,"Defino HLA, Defino MP, Vieira RS",147,170,"Defino HLA, Defino MP, Vieira RS. Anamnese e exame físico da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 147-170."
2,13,Neurofisiologia no Diagnóstico das Patologias da Coluna,Ricardo José Rodriguez Ferreira; Patrícia Toscano Barreto Nogueira; Roberto Waldesmand Farias Pontes,"Ferreira RJR, Nogueira PTB, Pontes RWF",171,184,"Ferreira RJR, Nogueira PTB, Pontes RWF. Neurofisiologia no diagnóstico das patologias da coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 171-184."
2,14,Monitorização Neurofisiológica Intraoperatória em Cirurgia de Coluna,Ricardo José Rodriguez Ferreira; Patrícia Toscano Barreto Nogueira; Roberto Waldesmand Farias Pontes,"Ferreira RJR, Nogueira PTB, Pontes RWF",185,200,"Ferreira RJR, Nogueira PTB, Pontes RWF. Monitorização neurofisiológica intraoperatória em cirurgia de coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 185-200."
2,15,Diagnóstico por Imagem da Coluna Vertebral,Marcello Henrique Nogueira-Barbosa; Guilherme Naves de Lima Alves,"Nogueira-Barbosa MH, Alves GNL",201,214,"Nogueira-Barbosa MH, Alves GNL. Diagnóstico por imagem da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 201-214."
2,16,Diagnóstico Diferencial: Doenças da Coluna e Condições Ortopédicas,Maria Fernanda Silber Caffaro; Rafael Moraes Trincado; Jorge Rafael Durigan,"Caffaro MFS, Trincado RM, Durigan JR",215,228,"Caffaro MFS, Trincado RM, Durigan JR. Diagnóstico diferencial: doenças da coluna e condições ortopédicas. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 215-228."
2,17,Diagnóstico Diferencial: Doenças da Coluna e Doenças Neurológicas,Charles André Carazzo; Werner Petry Silva,"Carazzo CA, Silva WP",229,242,"Carazzo CA, Silva WP. Diagnóstico diferencial: doenças da coluna e doenças neurológicas. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 229-242."
3,18,Avaliação da Coluna do Paciente Politraumatizado,Charbel Jacob Junior; Igor de Barcellos Zanon,"Jacob Junior C, Zanon IB",243,250,"Jacob Junior C, Zanon IB. Avaliação da coluna do paciente politraumatizado. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 243-250."
3,19,Trauma Raquimedular,Emiliano Neves Vialle; Mauricio Zanon,"Vialle EN, Zanon M",251,258,"Vialle EN, Zanon M. Trauma raquimedular. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 251-258."
3,20,Lesões Traumáticas da Coluna Cervical Alta,André Rafael Hübner; Igor Ebert Cechin; Alvaro Diego Heredia Suarez,"Hübner AR, Cechin IE, Suarez ADH",259,298,"Hübner AR, Cechin IE, Suarez ADH. Lesões traumáticas da coluna cervical alta. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 259-298."
3,21,Lesões Traumáticas da Coluna Cervical Subaxial,Edson Pudles; Luiz Gustavo Dal’Oglio da Rocha,"Pudles E, Rocha LGD",299,318,"Pudles E, Rocha LGD. Lesões traumáticas da coluna cervical subaxial. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 299-318."
3,22,Lesões Traumáticas da Coluna Torácica e Lombar,Alexandre Philippe Boss Jaccard; Carlos Andres Amelunge Rodriguez; Matheus Boss Vieira,"Jaccard APB, Rodriguez CAA, Vieira MB",319,330,"Jaccard APB, Rodriguez CAA, Vieira MB. Lesões traumáticas da coluna torácica e lombar. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 319-330."
3,23,Lesões Traumáticas do Sacro,Luiz Gustavo Dal’Oglio da Rocha; Otávio Vitório Alvarenga Pereira,"Rocha LGD, Pereira OVA",331,346,"Rocha LGD, Pereira OVA. Lesões traumáticas do sacro. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 331-346."
3,24,Lesões Traumáticas da Coluna na Infância,Alexandre Fogaça Cristante; Matheus Trindade Bruxelas de Freitas; Caio César Nogueira de Figueiredo,"Cristante AF, Freitas MTB, Figueiredo CCN",347,352,"Cristante AF, Freitas MTB, Figueiredo CCN. Lesões traumáticas da coluna na infância. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 347-352."
3,25,Fraturas Vertebrais por Insuficiência,Xavier Soler Graells; Álynson Larocca Kulcheski; André Luís Sebben,"Graells XS, Kulcheski AL, Sebben AL",353,362,"Graells XS, Kulcheski AL, Sebben AL. Fraturas vertebrais por insuficiência. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 353-362."
3,26,Deformidades Pós-Traumáticas,Carlos Eduardo Gonçales Barsotti; Anderson Clayton Cardeal,"Barsotti CEG, Cardeal AC",363,374,"Barsotti CEG, Cardeal AC. Deformidades pós-traumáticas. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 363-374."
4,27,Introdução às Deformidades da Coluna Vertebral,Edson Pudles; Helton Luiz Aparecido Defino,"Pudles E, Defino HLA",375,398,"Pudles E, Defino HLA. Introdução às deformidades da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 375-398."
4,28,Escoliose de Início Precoce,Alexandre Fogaça Cristante; Santiago Alexis Naranjo Tipan; Caio César Nogueira de Figueiredo,"Cristante AF, Tipan SAN, Figueiredo CCN",399,404,"Cristante AF, Tipan SAN, Figueiredo CCN. Escoliose de início precoce. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 399-404."
4,29,Tratamento Não Cirúrgico das Escolioses,Túlio Albuquerque de Moura Rangel; André Flávio Freire Pereira; Marcelo Paulo Melo de Souza,"Rangel TAM, Pereira AFF, Souza MPM",405,410,"Rangel TAM, Pereira AFF, Souza MPM. Tratamento não cirúrgico das escolioses. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 405-410."
4,30,Escoliose Neuromuscular,Carlos Abreu de Aguiar; Luca Erdmann Bini Cordeiro,"Aguiar CA, Cordeiro LEB",411,422,"Aguiar CA, Cordeiro LEB. Escoliose neuromuscular. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 411-422."
4,31,Deformidades nos Disrafismos Espinhais,Paulo Tadeu Maia Cavali; Mauricio Coelho Lima; Alexander Junqueira Rossato,"Cavali PTM, Lima MC, Rossato AJ",423,444,"Cavali PTM, Lima MC, Rossato AJ. Deformidades nos disrafismos espinhais. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 423-444."
4,32,Escoliose na Neurofibromatose,Luís Eduardo Munhoz Da Rocha,Rocha LEM,445,452,"Rocha LEM. Escoliose na neurofibromatose. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 445-452."
4,33,Deformidades Congênitas da Coluna Vertebral,Luiz Müller Avila; Carlos Abreu de Aguiar,"Avila LM, Aguiar CA",453,460,"Avila LM, Aguiar CA. Deformidades congênitas da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 453-460."
4,34,Escoliose Idiopática,Helton Luiz Aparecido Defino; Matheus Pippa Defino; Rian Souza Vieira,"Defino HLA, Defino MP, Vieira RS",461,480,"Defino HLA, Defino MP, Vieira RS. Escoliose idiopática. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 461-480."
4,35,Escoliose do Adulto,Alexandre Fogaça Cristante; Vinícius Antônio Santos Aragão; Daniel Duarte Perini,"Cristante AF, Aragão VAS, Perini DD",481,486,"Cristante AF, Aragão VAS, Perini DD. Escoliose do adulto. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 481-486."
4,36,Escoliose nas Síndromes Genéticas,Olavo Biraghi Letaif; Vinícius Antônio Santos Aragão; Débora Yumi Yoshimura Orlandin Alves,"Letaif OB, Aragão VAS, Alves DYYO",487,492,"Letaif OB, Aragão VAS, Alves DYYO. Escoliose nas síndromes genéticas. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 487-492."
4,37,Escoliose Idiopática de Alto Valor Angular,Alderico Girão Campos de Barros; Luis Eduardo Carelli; Giancarlo Jorio Almeida,"Barros AGC, Carelli LE, Almeida GJ",493,502,"Barros AGC, Carelli LE, Almeida GJ. Escoliose idiopática de alto valor angular. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 493-502."
4,38,Espondilolistese na Criança,André Luis Fernandes Andujar; Rodrigo dos Santos Grandini; Henrique Dagostin de Arjona,"Andujar ALF, Grandini RS, Arjona HD",503,518,"Andujar ALF, Grandini RS, Arjona HD. Espondilolistese na criança. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 503-518."
4,39,Espondilolistese no Adulto,Rodrigo Amaral; Jullyene Pokorny; Gabriel Pokorny; Fernando Toni Marcelino da Silva; Rafael Moriguchi; Igor Barreira Magro; Luiz Pimenta,"Amaral R, Pokorny J, Pokorny G, Silva FTM, Moriguchi R, Magro IB, Pimenta L",519,530,"Amaral R, Pokorny J, Pokorny G, Silva FTM, Moriguchi R, Magro IB, Pimenta L. Espondilolistese no adulto. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 519-530."
4,40,Cifose,Helton Luiz Aparecido Defino; Matheus Pippa Defino; Rian Souza Vieira,"Defino HLA, Defino MP, Vieira RS",531,550,"Defino HLA, Defino MP, Vieira RS. Cifose. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 531-550."
4,41,Deformidades da Coluna Cervical,Luis Eduardo Carelli; Alderico Girão Campos de Barros; Lucas Gomes Pupp,"Carelli LE, Barros AGC, Pupp LG",551,568,"Carelli LE, Barros AGC, Pupp LG. Deformidades da coluna cervical. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 551-568."
5,42,Fisiopatologia da Degeneração Discal,Orlando Righesso Neto; Asdrubal Falavigna; Vincenzo Fin Falavigna; Maria Eduarda Lima Viapiana; Enzo Pasetto Righesso,"Righesso Neto O, Falavigna A, Falavigna VF, Viapiana MEL, Righesso EP",569,578,"Righesso Neto O, Falavigna A, Falavigna VF, Viapiana MEL, Righesso EP. Fisiopatologia da degeneração discal. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 569-578."
5,43,Hérnia de Disco Cervical,Aluízio Augusto Arantes Junior; Bernardo Drummond Braga; Diogo Nogueira Ribeiro; Adriano M. Lino Filho,"Arantes Junior AA, Braga BD, Ribeiro DN, Lino Filho AM",579,592,"Arantes Junior AA, Braga BD, Ribeiro DN, Lino Filho AM. Hérnia de disco cervical. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 579-592."
5,44,Hérnia de Disco Torácica,Murilo Tavares Daher; Luna Jeannie Alves Mangueira; Fernando Balsimelli,"Daher MT, Mangueira LJA, Balsimelli F",593,604,"Daher MT, Mangueira LJA, Balsimelli F. Hérnia de disco torácica. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 593-604."
5,45,Hérnia de Disco Lombar,Renato Hiroshi Salvioni Ueta; Tiago Ferreira Jorge; Victor Cavalcante Schussel; Gabriela Neves Vaz,"Ueta RHS, Jorge TF, Schussel VC, Vaz GN",605,612,"Ueta RHS, Jorge TF, Schussel VC, Vaz GN. Hérnia de disco lombar. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 605-612."
5,46,Estenose Lombar: Diagnóstico e Manejo Contemporâneo,Robert Meves; Rodrigo Góes Medéa de Mendonça,"Meves R, Mendonça RGM",613,624,"Meves R, Mendonça RGM. Estenose lombar: diagnóstico e manejo contemporâneo. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 613-624."
5,47,Instabilidade Vertebral,Edson Pudles,Pudles E,625,632,"Pudles E. Instabilidade vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 625-632."
5,48,"Estenose Cervical, Mielopatia Cervical Degenerativa e Ossificação do Ligamento Longitudinal Posterior",Fernando Luiz Rolemberg Dantas; François Dantas; Victor Kelles Tupy da Fonseca,"Dantas FLR, Dantas F, Fonseca VKT",633,654,"Dantas FLR, Dantas F, Fonseca VKT. Estenose cervical, mielopatia cervical degenerativa e ossificação do ligamento longitudinal posterior. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 633-654."
5,49,Infiltrações e Radiofrequência na Coluna Vertebral,Sylvio Mistro Neto; Marcelo Italo Risso Neto,"Mistro Neto S, Risso Neto MI",655,662,"Mistro Neto S, Risso Neto MI. Infiltrações e radiofrequência na coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 655-662."
